rainfall_mm,forecast_mm,soil_moisture,elevation_m,slope_deg,river_distance_km,temperature_c,river_level,flood
2.0,5.0,0.05,1200.0,12.0,6.0,21.0,0.0,0.0
4.0,8.0,0.08,950.0,18.0,4.0,20.0,0.0,0.0
6.0,10.0,0.12,700.0,20.0,3.0,22.0,0.0,0.0
8.0,12.0,0.16,600.0,24.0,2.5,23.0,1.0,0.0
10.0,15.0,0.18,500.0,22.0,2.0,24.0,1.0,0.0
12.0,18.0,0.2,450.0,25.0,1.8,24.0,1.0,0.0
15.0,22.0,0.24,380.0,28.0,1.5,25.0,1.0,1.0
18.0,28.0,0.28,320.0,30.0,1.2,24.0,2.0,1.0
20.0,35.0,0.32,250.0,35.0,1.0,23.0,2.0,1.0
22.0,40.0,0.35,200.0,38.0,0.8,22.0,2.0,1.0
25.0,45.0,0.38,180.0,40.0,0.6,22.0,2.0,1.0
28.0,50.0,0.42,150.0,42.0,0.5,21.0,3.0,1.0
30.0,55.0,0.45,120.0,45.0,0.4,20.0,3.0,1.0
35.0,60.0,0.48,90.0,48.0,0.3,20.0,3.0,1.0
40.0,70.0,0.52,70.0,50.0,0.2,19.0,3.0,1.0
5.0,8.0,0.1,1100.0,14.0,5.0,22.0,0.0,0.0
7.0,10.0,0.11,900.0,18.0,4.5,23.0,0.0,0.0
11.0,16.0,0.19,550.0,26.0,2.0,24.0,1.0,0.0
16.0,24.0,0.25,360.0,30.0,1.5,23.0,1.0,1.0
24.0,42.0,0.36,210.0,37.0,0.9,21.0,2.0,1.0
32.0,58.0,0.47,100.0,46.0,0.4,20.0,3.0,1.0
45.0,80.0,0.55,60.0,55.0,0.1,19.0,3.0,1.0
9.0,13.0,0.15,620.0,21.0,3.0,25.0,0.0,0.0
14.0,20.0,0.22,420.0,27.0,1.7,24.0,1.0,0.0
21.0,38.0,0.34,230.0,36.0,0.8,22.0,2.0,1.0
20.48392454313207,27.346879021368807,0.26825246502460903,233.1313741227708,31.961506638996728,1.094274199778582,21.637963886718182,2.0,1.0
0.0,4.946011101048264,0.018268672131322994,1224.6763473630956,8.337469050086934,6.062659078501427,18.060494814180338,0.0,0.0
10.31316015328143,15.946698378411336,0.19869389592579506,441.74097269260824,20.310799616240462,1.5613107023588961,25.39587660115665,1.0,0.0
9.355534819346683,13.871179013052608,0.18208367052007773,576.6089435802037,21.46831091896822,2.454839842522065,21.551663492157537,1.0,0.0
9.940479592465923,18.053069732453423,0.1929123264804412,579.0593497159866,23.893840718367944,1.9017013560206695,23.411837770301762,2.0,0.0
11.072970103735763,12.324915138803835,0.2192045837365235,421.8069062982308,34.389726337455855,1.6422917105656631,24.45232101350042,0.0,0.0
9.927679799641956,20.38611542597953,0.2028403852296828,475.9090340479721,27.445937417008683,2.2779369075860965,22.74362791235533,1.0,0.0
19.354372131164197,31.415991145979604,0.3336578157197639,337.0068221236126,29.506498697514285,1.157102719587742,21.098144706748425,2.0,1.0
26.418763941373268,44.151840014767984,0.4420326647718522,212.8129629045584,32.78078419845535,0.8896411031715575,19.55547656090081,1.0,1.0
12.954360001626146,20.385319158164357,0.17993766927787483,569.0533765270594,22.759397389878544,1.6082907337876728,22.87385723539849,1.0,0.0
32.136702502207655,56.36236467771377,0.5266864296837974,79.7258579733581,43.259762388032755,0.2634900478037302,19.38085758021484,2.0,1.0
10.191287303608643,10.352854140926448,0.1755730000438867,596.224377847019,20.655790675599302,3.151496183694137,26.298632791255184,0.0,0.0
7.525216077586662,19.488022721889216,0.15941673577301355,572.0222503031675,20.11517257656042,2.468464448576076,20.007557642663528,1.0,0.0
32.39961431681312,62.747394051063885,0.48212917246919235,103.17981420310302,47.67450633430946,0.1540701701842918,20.31139739192858,3.0,1.0
5.661594543637574,14.647749270987099,0.15658579327517977,886.8144637357717,16.776253941686115,4.57848691679174,23.01821976360984,1.0,0.0
22.86186816794816,45.25466630351563,0.35213748685352575,232.70217760944985,36.248191307401434,0.7224746792547694,23.775223480211505,2.0,1.0
33.715319246404036,57.360245880146294,0.4694295137629193,69.92411906086573,45.94446059202283,0.31340240832395855,20.484077840507133,3.0,1.0
3.345538112895354,5.1927462298895986,0.07098666836197101,1143.1026401764866,11.894900068976511,4.957015022384876,21.099092978125622,0.0,0.0
19.53653846498035,40.75833968064236,0.391987899435582,186.57715927225584,39.02184575386508,0.7958666134198424,24.05856669482087,2.0,1.0
6.644427814013231,9.04152492228259,0.1405225816499887,574.5443790183626,21.19126491516613,2.5999519884519473,22.613146753184687,1.0,0.0
30.406227095893012,55.19829091719762,0.498317353896699,158.21980171766455,42.394254188856905,0.43492329403622715,20.540253503203274,3.0,1.0
18.437198748027374,13.300469989387611,0.30096427577877655,327.07619302099755,32.49966602702559,1.2275837869288686,25.84154960120659,1.0,1.0
9.029177981381078,16.8185402903033,0.1855406279380153,581.3890883239335,21.79076348322706,2.6738513204649563,22.17908024549372,1.0,0.0
15.543891961752752,23.75494946821364,0.2603687996166096,296.8032508864153,28.947632264481392,1.2654668197593288,25.36584618355662,2.0,1.0
25.9931563179296,44.22299444706386,0.373812831231324,111.66148746568328,42.39245261343494,0.6435612180856374,24.692746834958445,3.0,1.0
23.850984706937655,45.05700879443609,0.360323944944291,236.4578973114972,31.94538358309678,0.675609003052053,17.791799527786026,2.0,1.0
21.33945856878075,38.3575756765826,0.3546413223813625,277.40402285225605,35.6404472419032,0.8341188380638942,21.108225920913625,1.0,1.0
46.176657036921284,80.96806057627118,0.5040856377043824,20.0,52.705625839133646,0.37485137968138627,20.63554436754047,2.0,1.0
